#x	y	z	vx	vy	vz	mass
-5.6269822	0.70598011	0.72390826	0.4917099	0.0084079827	0.23199202	5.1701329e-05
0.38359751	-0.16891658	0.91882002	-0.33480718	0.62336608	0.16128526	5.1701329e-05
1.170696	-1.8616216	-0.24666473	-0.20293188	0.21142232	-0.11238099	5.1701329e-05
-3.8981929	1.049308	-0.46297238	0.48055301	0.19272552	0.06935594	5.1701329e-05
-9.3646881	2.6991737	-0.51430728	0.31399752	-0.034411345	0.041801509	5.1701329e-05
-5.4707656	-3.1313412	0.13176043	-0.11239715	-0.041795503	0.1890018	5.1701329e-05
8.1978355	-5.0097048	-0.023007297	-0.21093983	0.0096423724	-0.0011459429	5.1701329e-05
6.217334	6.7512473	-2.7444592	0.071110558	0.1018737	-0.20148161	5.1701329e-05
6.020835	1.6644726	-1.4710706	0.18797026	0.6159206	-0.10123554	5.1701329e-05
-0.24498706	-1.6235835	-0.6780377	-0.19526186	-0.019325298	0.096677838	5.1701329e-05
-11.014354	-9.5323024	1.2680171	0.1006059	-0.30552827	0.13309649	5.1701329e-05
1.4819788	-4.8916875	0.26433829	-0.18248796	0.15971959	-0.16983391	5.1701329e-05
-2.6179346	2.8921287	-0.06606785	-0.64440306	-0.14217705	0.04911554	5.1701329e-05
-4.9405208	-1.7895958	-0.5015882	-0.28317345	-0.53903034	-0.13105518	5.1701329e-05
-8.1090109	7.9853108	-2.425131	-0.19840732	-0.083640009	0.092701256	5.1701329e-05
1.9422698	2.9021456	-1.114775	0.042155695	0.52517716	0.11919701	5.1701329e-05
7.9829978	-4.0659111	-1.3753289	-0.096708218	0.21926176	-0.067222555	5.1701329e-05
1.2791382	2.8043201	0.66415892	0.14653617	0.087939666	0.080436209	5.1701329e-05
3.9916488	0.99913347	0.95099513	0.59268274	0.20633219	-0.0037162187	5.1701329e-05
-1.3606496	-4.0271699	-0.33535974	0.32201186	-0.17814584	0.062859529	5.1701329e-05
-0.031454318	2.3447383	-0.36488786	0.28939819	-0.62075847	0.26605684	5.1701329e-05
1.1307559	-2.3201315	-0.28757465	0.0068832287	0.84815539	-0.091061143	5.1701329e-05
-0.26695937	2.3861269	0.19349694	-0.15068443	-0.18828667	-0.019787669	5.1701329e-05
1.6504533	-8.1850248	-2.6166445	0.45976102	-0.083593252	-0.22900077	5.1701329e-05
-0.54910765	0.53579867	0.42316769	0.27227071	0.55471803	0.0083873382	5.1701329e-05
4.2692282	-3.778982	-0.61348105	0.52601842	0.028678131	-0.0813265	5.1701329e-05
-14.805801	-0.33839951	5.4298959	-0.14786368	-0.091425874	0.07374335	5.1701329e-05
5.0485124	0.19287464	1.0478695	-0.015568658	0.43806028	0.031370107	5.1701329e-05
-1.3263312	4.6869097	0.70248018	0.08949341	-0.034001325	-0.16725757	5.1701329e-05
10.716061	-1.4987055	-0.34389796	-0.11897508	0.16169508	-0.054170185	5.1701329e-05
-0.89442346	-1.0088551	0.20567931	0.3354295	0.29388898	0.18579143	5.1701329e-05
2.4987143	-3.4793986	-0.26234444	0.40058165	-0.30439602	-0.16447583	5.1701329e-05
-0.62348951	-1.6360892	0.069849966	0.47361945	-0.081340261	-0.25019077	5.1701329e-05
0.22588145	-3.352541	0.010767613	0.67771011	-0.52678021	-0.14529112	5.1701329e-05
