#x	y	z	vx	vy	vz	mass
1.9854177	-11.449791	-3.0054151	0.091033204	0.15168908	0.10380742	0.00012911799
0.36195327	-0.53455863	0.092928285	0.62481094	0.50828826	-0.16284092	0.00012911799
0.55409246	-2.840924	-0.55338891	0.30126856	-0.38836231	-0.13034892	0.00012911799
-5.5785735	4.4643193	-1.6606931	-0.1281071	-0.39861253	-0.029679629	0.00012911799
-9.3937241	-1.3598464	0.36802222	0.30338748	0.1423015	0.054789778	0.00012911799
2.2263857	-2.4565267	-0.41709089	-0.28785515	0.28427594	0.10537779	0.00012911799
-2.8500509	-8.9289909	-0.87622964	0.32000161	-0.17714022	0.078806142	0.00012911799
8.0720166	-3.6795078	0.728131	0.22209739	0.17772686	-0.12972861	0.00012911799
7.4858674	5.2961778	1.5541783	-0.19969992	0.15630377	0.13269182	0.00012911799
-0.029575598	2.6015321	0.68549338	0.45850258	0.52188364	0.23738657	0.00012911799
3.3503295	4.345799	-0.3447166	-0.004470658	0.3653244	0.089975869	0.00012911799
1.8441733	1.6770149	0.063230235	-0.096325422	-0.5765216	-0.06795051	0.00012911799
-3.5928284	1.0695804	0.3024359	0.41149306	-0.20565865	0.11579411	0.00012911799
-0.075771655	-1.086984	0.96948298	-0.3305353	-0.10937184	-0.099514587	0.00012911799
1.8310738	-3.3756846	-0.82624241	-0.36951228	0.14573804	0.21449147	0.00012911799
-0.43283323	2.2225373	0.590729	-0.27551886	-0.76089436	-0.25535943	0.00012911799
-5.4665519	4.0156465	1.0978519	-0.12653948	-0.36144204	-0.016511384	0.00012911799
-0.316144	5.9202503	0.90902461	-0.40396376	0.40877801	0.16738327	0.00012911799
-2.8816163	-10.182383	0.8508922	0.33211695	-0.12791072	0.083343511	0.00012911799
-1.453164	-3.628051	-0.14934684	0.079970241	0.4022047	0.02184507	0.00012911799
2.3237427	-4.5130187	0.38952215	0.2818356	0.01540254	-0.084912017	0.00012911799
-3.9096819	-9.6024477	0.17065341	0.1399842	0.13812842	-0.025908691	0.00012911799
2.09694	-0.19793419	0.0024988635	0.70632447	0.16528543	-0.077752994	0.00012911799
-3.1550971	-6.9352425	-1.9215926	0.3336601	0.037985546	0.20002395	0.00012911799
-0.1954715	1.0916187	0.0017987764	-0.36671723	-0.3350773	0.29088072	0.00012911799
-3.900891	0.53275494	1.5459228	-0.24035423	-0.052791574	0.0038328705	0.00012911799
4.2450788	1.1168493	-0.059266617	-0.080574118	-0.24134441	-0.18279051	0.00012911799
