#x	y	z	vx	vy	vz	mass
-3.7329147	5.4280844	-0.37580766	-0.073905321	-0.13154712	0.050296745	0.00014337851
-10.517324	5.9405824	-6.1441413	0.093359728	0.2229363	0.022369314	0.00014337851
-2.9927114	3.6070406	-0.58035426	-0.28585205	0.41098238	-0.10443439	0.00014337851
1.1553715	3.7712232	-0.11440936	-0.66551308	-0.3291097	-0.032028502	0.00014337851
1.9914045	7.25153	-1.9090834	-0.33973443	0.12692217	0.096743948	0.00014337851
1.8622516	0.60368336	0.39423414	-0.62735947	-0.039091476	-0.1827617	0.00014337851
3.2731246	-7.0996613	0.30819531	0.37488196	0.022608023	-0.095775607	0.00014337851
-4.7398061	4.4384085	-0.7530792	-0.21346243	-0.42749167	-0.019582915	0.00014337851
-2.6073884	-2.8468163	0.93682072	-0.16958295	-0.12877121	0.12694367	0.00014337851
3.058769	9.4646619	-0.12189023	-0.080665004	0.026775117	0.0034071158	0.00014337851
4.3106755	-3.0384133	0.60347046	-0.27492842	0.29317313	-0.18026451	0.00014337851
-0.12217017	1.5720582	-0.13072228	-0.082939121	0.34368263	0.28891965	0.00014337851
-3.5171083	6.8983585	0.57982004	-0.045744731	0.16620725	0.18884358	0.00014337851
-0.6862446	1.1361503	1.1728227	-0.16203929	0.30580531	0.18317547	0.00014337851
-1.7774861	0.38687022	0.067213681	0.68686602	-0.554747	-0.12584625	0.00014337851
7.9869903	-6.485687	-0.23904303	0.080468588	0.078410449	0.00082916188	0.00014337851
-0.62543723	-3.9787032	-0.32120447	0.30688348	-0.1033553	0.067281519	0.00014337851
10.943235	4.9266178	-0.43143955	0.061421483	0.12753018	0.00017804793	0.00014337851
0.46448631	6.55044	0.71150235	-0.34063352	-0.42110574	-0.14680777	0.00014337851
-1.4527476	-0.71881192	0.0248247	0.79806709	-0.27881247	-0.39349204	0.00014337851
4.8487637	0.41045055	0.52984869	-0.75274678	0.15125707	-0.055077696	0.00014337851
-1.9370171	-1.6872534	-0.049119334	0.18869775	0.19210533	-0.029788886	0.00014337851
2.4231652	6.0098642	0.6914398	-0.065032783	0.047721916	0.096644285	0.00014337851
-0.24894298	5.3649004	-0.91208508	-0.58204754	-0.2967784	-0.18434926	0.00014337851
2.4742047	-0.63704978	1.0434571	0.17512285	0.4410796	0.13016185	0.00014337851
5.3717526	-6.4224488	0.35255574	0.30558817	-0.39142565	0.10057977	0.00014337851
4.17755	-1.7274022	0.014366167	-0.0070413473	0.53814732	-0.36645053	0.00014337851
6.0251107	-2.4212887	-0.59252711	0.33304054	-0.10469139	-0.039587216	0.00014337851
-5.7577473	3.3702603	-0.67696349	-0.19466425	0.0040244472	0.085669846	0.00014337851
-4.1435032	-7.4728845	-0.45096577	0.20061985	-0.18435223	-0.082939481	0.00014337851
9.7140069	-6.0163636	-0.73634526	0.18866837	0.0056648854	-0.020618736	0.00014337851
-5.1817707	1.5448752	-0.72991897	-0.66977577	0.043099988	-0.20327697	0.00014337851
-4.6436986	6.5229149	-0.76543784	-0.34018178	-0.30413304	-0.18083833	0.00014337851
-2.3824267	12.022013	4.6146927	-0.35664479	0.028561757	-0.033976184	0.00014337851
2.0837682	-0.95034844	0.30175405	0.64727881	-0.30213363	-0.23584369	0.00014337851
-1.9297494	4.353103	-0.33380103	-0.21252877	-0.022448803	-0.3607415	0.00014337851
-1.7342236	-5.379018	0.095312977	0.43650212	-0.35138585	0.042804621	0.00014337851
-0.21935006	-2.4217355	-0.18067603	0.22248586	0.169599	-0.11422424	0.00014337851
-7.1950937	0.39661205	-1.5966847	0.02154521	-0.033062299	-0.036226373	0.00014337851
-6.1335831	-4.4170861	0.36794321	0.062626296	-0.20561027	0.10109242	0.00014337851
-3.6068343	2.5260573	0.18616451	-0.13188229	-0.43310306	0.14691945	0.00014337851
4.0021869	0.45208256	1.118604	-0.35694454	0.58956255	0.12614827	0.00014337851
-1.0737406	0.34131933	0.72442266	-0.89317711	-0.23695568	0.2978947	0.00014337851
-2.0343008	9.6869403	-0.026920626	-0.34965866	-0.090574333	-0.11804401	0.00014337851
-0.25602749	0.92365682	0.20724387	-0.56273627	-0.072029388	0.17539366	0.00014337851
-3.0150964	13.576056	1.0875424	0.043752933	-0.068852821	0.032396305	0.00014337851
1.4464516	5.9142314	-0.13927074	-0.23737055	0.20578673	-0.16063354	0.00014337851
-1.9999919	-1.766012	-0.075392863	-0.51832041	0.081128362	0.085571046	0.00014337851
-6.1711863	6.8272864	0.32096589	-0.28799491	-0.34229403	-0.0095772207	0.00014337851
3.8055746	-4.6507213	0.25153025	0.35981067	0.45349793	0.0148889	0.00014337851
1.1885762	1.3582555	0.20894433	-0.52007013	0.30039649	-0.46981701	0.00014337851
1.8218249	-4.7913892	0.04476202	0.022199832	0.072270705	0.050376253	0.00014337851
-0.86392482	1.912269	0.058985426	-0.1618386	0.28122548	-0.028369764	0.00014337851
7.7417479	1.4296671	-2.4787429	0.34192301	0.037420235	-0.14864931	0.00014337851
-4.7990074	0.14572888	-0.49784304	0.25401359	-0.26494383	0.10112474	0.00014337851
-5.2031086	-2.2637264	0.14092178	0.3698411	-0.014230358	-0.02810579	0.00014337851
-1.0315711	-0.50608565	0.0068128838	0.065478818	-0.43973919	-0.20607093	0.00014337851
2.6192066	1.4297333	-0.34788649	0.29450457	0.038339021	0.0089744525	0.00014337851
0.93851736	2.0472419	0.48069418	0.053966134	0.21706995	0.13167708	0.00014337851
7.0672236	-4.8934246	1.2723691	0.33094942	0.069522482	0.057282227	0.00014337851
-0.8910589	0.35722945	0.40091399	-0.47648572	-0.19367519	0.21206907	0.00014337851
3.4666601	-5.8934918	-0.38028375	0.23291032	0.32965585	-0.22003766	0.00014337851
-5.6294216	4.9496011	0.13833278	-0.36379303	-0.16613226	0.070971545	0.00014337851
-3.678266	-10.193428	-0.88452919	-0.03251891	0.060140075	0.041547844	0.00014337851
0.73289838	3.8158051	-0.62615743	-0.38918395	0.13746816	-0.1158427	0.00014337851
-1.8024099	-3.3362089	-0.14718061	0.32424873	0.42870348	0.20943232	0.00014337851
-4.5161515	3.8939885	0.11835636	-0.2782948	-0.30281395	-0.13766443	0.00014337851
-4.1210359	-4.4625692	-0.1119808	0.33121721	-0.62445015	0.14710681	0.00014337851
-7.8514752	2.7808429	-0.35575344	-0.29385335	-0.25042083	-0.12490579	0.00014337851
0.36143356	-1.5878573	-0.071880846	0.47423093	-0.5806068	0.061889824	0.00014337851
7.2326114	0.97139232	-0.030518819	-0.22140097	0.15974262	-0.048019753	0.00014337851
-2.445093	15.639329	1.0887593	-0.2434223	0.021911498	0.014819123	0.00014337851
